        5,         5
        5,         5
        5,         5
        5,         5
        5,         6
        5,         6
        5,         6
        5,         6
        5,         6
        6,         5
        6,         5
        5,         6
        6,         6
        6,         6
        5,         5
        5,         5
        5,         5
        4,         5
        4,         5
        5,         6
        5,         6
        4,         5
        4,         5
        4,         5
        5,         6
        5,         5
        5,         5
        6,         5
        6,         5
        6,         5
        6,         4
        6,         5
        5,         5
        5,         6
        6,         5
        6,         4
        6,         4
        6,         4
        6,         4
        5,         4
        4,         5
        5,         4
        5,         4
        4,         5
        4,         5
        5,         4
        4,         5
        5,         4
        4,         5
        4,         4
        4,         5
        5,         6
        4,         5
        4,         5
        3,         5
        3,         5
        3,         5
        4,         4
        4,         4
        4,         4
        5,         4
        4,         5
        3,         5
        4,         4
        5,         3
        5,         3
        6,         3
        6,         4
        5,         4
        5,         4
        5,         3
        5,         4
        6,         5
        5,         4
        5,         4
        5,         4
        5,         5
        6,         6
        5,         7
        4,         7
        4,         7
        3,         6
        3,         6
        3,         5
        3,         5
        4,         4
        5,         5
        5,         5
        5,         5
        5,         5
        5,         5
        5,         5
        5,         5
        4,         6
        5,         6
        5,         6
        5,         6
        6,         6
        6,         6
        6,         6
        6,         6
