0	100	100	100	10000
1	95	95	100	9995
2	115	115	127	9988
3	138	138	157	9981
4	165	165	194	9971
5	188	188	229	9959
6	212	212	262	9950
7	235	235	308	9927
8	260	260	349	9911
9	290	290	396	9894
10	319	319	438	9881
11	343	343	481	9862
12	357	357	526	9831
13	379	379	577	9802
14	400	400	628	9772
15	361	407	620	9741
16	359	416	650	9709
17	359	432	681	9678
18	364	453	711	9653
19	343	445	723	9620
20	337	446	745	9592
21	336	460	765	9571
22	325	466	779	9546
23	304	463	790	9514
24	293	471	797	9496
25	282	473	817	9465
26	274	482	831	9443
27	273	495	846	9427
28	271	507	868	9403
29	267	514	887	9380
30	267	527	904	9363
31	255	531	910	9345
32	240	537	907	9333
33	230	530	932	9298
34	218	528	945	9273
35	213	536	953	9260
36	212	548	974	9238
37	214	559	990	9224
38	215	568	1004	9211
39	212	576	1015	9197
40	205	580	1021	9184
41	198	585	1027	9171
42	204	599	1049	9155
43	196	600	1055	9141
44	184	603	1062	9122
45	182	608	1078	9104
46	190	620	1098	9092
47	190	630	1110	9080
48	177	631	1113	9064
49	169	630	1117	9052
50	162	633	1119	9043
51	159	637	1131	9028
52	149	635	1134	9015
53	138	634	1135	9003
54	133	635	1140	8993
55	126	633	1146	8980
56	120	634	1150	8970
57	112	630	1154	8958
58	109	634	1161	8948
59	112	642	1173	8939
60	106	646	1174	8932
61	100	648	1177	8923
62	96	650	1180	8916
63	86	644	1182	8904
64	86	646	1190	8896
65	79	647	1190	8889
66	73	645	1190	8883
67	72	648	1191	8881
68	69	647	1196	8873
69	68	649	1201	8867
70	71	656	1207	8864
71	65	653	1207	8858
72	63	655	1214	8849
73	64	661	1217	8847
74	64	666	1221	8843
75	63	669	1225	8838
76	65	673	1232	8833
77	62	673	1233	8829
78	60	673	1240	8820
79	57	675	1243	8814
80	61	681	1249	8812
81	59	681	1254	8805
82	60	684	1261	8799
83	62	688	1267	8795
84	57	690	1264	8793
85	60	693	1268	8792
86	63	700	1274	8789
87	66	704	1278	8788
88	64	708	1285	8779
89	64	712	1289	8775
90	64	713	1293	8771
91	62	712	1298	8764
92	62	715	1304	8758
93	57	714	1308	8749
94	51	711	1310	8741
95	49	712	1309	8740
96	46	712	1308	8738
97	48	716	1311	8737
98	48	717	1313	8735
99	48	719	1316	8732
100	49	725	1318	8731
101	48	726	1318	8730
102	41	726	1313	8728
103	39	728	1314	8725
104	38	730	1316	8722
105	39	731	1318	8721
106	40	735	1321	8719
107	36	735	1321	8715
108	35	736	1324	8711
109	36	739	1327	8709
110	31	735	1326	8705
111	27	731	1327	8700
112	27	731	1330	8697
113	25	729	1332	8693
114	22	729	1333	8689
115	23	730	1334	8689
116	26	734	1337	8689
117	25	734	1336	8689
118	27	736	1338	8689
119	28	737	1341	8687
120	27	740	1341	8686
121	29	744	1344	8685
122	28	745	1346	8682
123	27	747	1348	8679
124	30	750	1351	8679
125	31	752	1353	8678
126	29	752	1353	8676
127	29	752	1354	8675
128	27	752	1353	8674
129	27	753	1354	8673
130	23	751	1354	8669
131	25	753	1357	8668
132	25	753	1360	8665
133	24	754	1359	8665
134	24	756	1359	8665
135	23	756	1359	8664
136	23	757	1361	8662
137	20	757	1359	8661
138	17	755	1358	8659
139	15	755	1359	8656
140	15	756	1360	8655
141	13	754	1360	8653
142	15	756	1362	8653
143	13	755	1361	8652
144	11	753	1361	8650
145	10	754	1360	8650
146	9	754	1359	8650
147	10	755	1360	8650
148	11	756	1361	8650
149	10	755	1361	8649
150	8	755	1359	8649
151	6	754	1358	8648
152	6	754	1358	8648
153	4	754	1356	8648
154	2	753	1355	8647
155	3	754	1356	8647
156	4	755	1357	8647
157	4	755	1357	8647
158	3	754	1357	8646
159	3	754	1357	8646
160	4	755	1358	8646
161	3	755	1357	8646
162	2	755	1356	8646
163	2	755	1356	8646
164	1	754	1356	8645
165	1	754	1356	8645
166	1	754	1356	8645
167	1	754	1356	8645
168	1	754	1356	8645
169	1	754	1356	8645
170	1	754	1356	8645
171	1	754	1356	8645
172	1	754	1356	8645
173	1	754	1356	8645
174	0	754	1355	8645
