219	32	1979	3362	6670
220	32	1981	3364	6668
221	31	1984	3366	6665
222	28	1982	3368	6660
223	21	1977	3367	6654
224	20	1977	3369	6651
225	22	1979	3371	6651
226	24	1981	3373	6651
227	26	1985	3376	6650
228	23	1984	3375	6648
229	23	1985	3376	6647
230	26	1988	3381	6645
231	27	1991	3385	6642
232	26	1991	3385	6641
233	27	1992	3388	6639
234	25	1993	3388	6637
235	23	1992	3390	6633
236	21	1992	3390	6631
237	18	1989	3390	6628
238	19	1991	3391	6628
239	17	1990	3391	6626
240	15	1989	3391	6624
241	16	1990	3392	6624
242	12	1987	3391	6621
243	12	1988	3392	6620
244	13	1989	3394	6619
245	13	1990	3395	6618
246	13	1990	3396	6617
247	10	1989	3395	6615
248	11	1990	3396	6615
249	8	1989	3394	6614
250	7	1988	3394	6613
251	7	1988	3394	6613
252	7	1988	3394	6613
253	7	1988	3394	6613
254	7	1988	3394	6613
255	7	1989	3394	6613
256	6	1988	3394	6612
257	4	1987	3394	6610
258	2	1986	3393	6609
259	1	1986	3392	6609
260	1	1986	3392	6609
261	1	1986	3392	6609
262	0	1986	3391	6609
